,mic_0,mic_1,mic_2,mic_3,mic_4,mic_5,mic_6,output_angle
0,0,1,-1,0,1,0,0,30
1,-1,-1,-1,-1,0,0,-1,30
2,-2,0,-1,-1,0,-1,-2,30
3,-1,0,-1,-1,0,-1,-1,30
4,0,0,-1,-1,1,0,-1,30
5,-1,1,-2,0,1,0,-1,30
6,-1,0,-1,-1,1,0,-1,30
7,-1,0,-2,-1,1,0,0,30
8,-1,0,-1,-1,1,0,0,30
9,-1,0,-1,-1,1,0,0,30
10,0,2,-1,-1,1,-1,1,30
11,-2,0,-1,0,0,0,0,30
12,-1,0,-1,-1,0,-1,0,30
13,-2,-1,-1,-1,0,-1,0,30
14,-2,0,-1,-1,0,-1,-1,30
15,-2,0,-2,-1,0,-1,0,30
16,-2,-1,-2,0,0,0,0,30
17,-1,0,-1,-1,0,-1,0,30
18,-2,0,-2,0,1,0,-1,30
19,-1,0,-2,0,1,-1,-1,30
20,-2,0,-1,0,0,-2,-1,30
21,-1,0,-1,0,1,-1,-1,30
22,-1,0,-1,-1,0,-1,-1,30
23,-1,0,-1,-1,0,0,0,30
24,0,0,-1,-1,0,0,0,30
25,-1,0,-1,0,0,1,0,30
26,0,0,-1,-1,1,0,-1,30
27,-1,-1,-1,-1,1,-1,0,30
28,-1,0,-1,-1,0,0,0,30
29,0,0,-1,-1,0,-1,0,30
30,-1,0,-1,-1,1,-1,0,30
31,0,0,-2,-2,1,0,0,30
32,-1,-1,-1,-1,0,0,-1,30
33,-1,-1,-2,-1,0,-1,0,30
34,-1,0,-2,-1,0,-1,-1,30
35,-1,0,-1,-1,0,0,0,30
36,-1,0,-1,-1,0,0,1,30
37,1,1,-1,-1,1,0,1,30
38,0,1,-1,-1,1,-1,1,30
39,-1,0,-1,1,1,0,1,30
40,0,1,-1,0,2,0,2,30
41,0,0,0,0,1,-1,1,30
42,-1,0,0,-1,1,0,1,30
43,1,0,-1,0,2,1,2,30
44,1,1,-1,0,1,0,1,30
45,1,0,0,0,0,0,1,30
46,0,1,1,0,1,1,0,30
47,0,1,0,0,0,0,1,30
48,0,0,0,0,1,0,1,30
49,0,1,0,-1,1,0,0,30
50,0,-1,-1,-1,0,0,0,30
51,0,0,-1,0,0,-1,0,30
52,0,1,-1,-1,0,-1,0,30
53,0,0,-1,-1,1,-1,0,30
54,-1,0,-1,-1,0,1,0,30
55,-1,-1,-1,0,1,-1,0,30
56,0,0,-1,0,0,0,-1,30
57,-1,-1,0,-1,0,-1,0,30
58,0,0,-1,-2,0,-1,0,30
59,-1,-2,-1,-1,0,-1,0,30
60,-2,-1,-1,-2,0,0,0,30
61,-2,-1,-2,-2,0,-1,-1,30
